Year,Race,No,Driver,Car,Pos (race),Points,Pos (qualifying),AvgAirTemp,AvgHumidity,AvgPressure,TotalRainfall,AvgTrackTemp,AvgWindDirection,AvgWindSpeed,Name
2022,Spain,4,1.6,1.9,8,4,11,36.57,7.11,996.02,0,48.96,176.83,3.49,Lando Norris NOR
2022,Spain,31,1.4,1.2,7,6,12,36.57,7.11,996.02,0,48.96,176.83,3.49,Esteban Ocon OCO
2022,Spain,20,1.0,1.6,17,0,8,36.57,7.11,996.02,0,48.96,176.83,3.49,Kevin Magnussen MAG
2022,Spain,3,1.0,1.9,12,0,9,36.57,7.11,996.02,0,48.96,176.83,3.49,Daniel Ricciardo RIC
2022,Spain,44,2.2,1.9,5,10,6,36.57,7.11,996.02,0,48.96,176.83,3.49,Lewis Hamilton HAM
2022,Spain,16,1.7,1.6,19,0,1,36.57,7.11,996.02,0,48.96,176.83,3.49,Charles Leclerc LEC
2022,Spain,1,2.1,1.8,1,25,2,36.57,7.11,996.02,0,48.96,176.83,3.49,Max Verstappen VER
2022,Spain,77,1.5,1.6,6,8,7,36.57,7.11,996.02,0,48.96,176.83,3.49,Valtteri Bottas BOT
2022,Spain,11,1.3,1.8,2,19,5,36.57,7.11,996.02,0,48.96,176.83,3.49,Sergio Perez PER
2022,Spain,63,1.8,1.9,3,15,4,36.57,7.11,996.02,0,48.96,176.83,3.49,George Russell RUS
2022,Monaco,16,1.7,1.6,4,12,1,22.27,75.67,1002.99,107,31.04,206.38,0.99,Charles Leclerc LEC
2022,Monaco,20,1.0,1.6,18,0,13,22.27,75.67,1002.99,107,31.04,206.38,0.99,Kevin Magnussen MAG
2022,Monaco,23,1.2,1.9,18,0,16,22.27,75.67,1002.99,107,31.04,206.38,0.99,Alexander Albon ALB
2022,Monaco,22,1.0,1.0,17,0,11,22.27,75.67,1002.99,107,31.04,206.38,0.99,Yuki Tsunoda TSU
2022,Monaco,63,1.8,1.9,5,10,6,22.27,75.67,1002.99,107,31.04,206.38,0.99,George Russell RUS
2022,Monaco,24,0.9,1.6,16,0,20,22.27,75.67,1002.99,107,31.04,206.38,0.99,Zhou Guanyu ZHO
2022,Monaco,18,1.0,1.9,14,0,18,22.27,75.67,1002.99,107,31.04,206.38,0.99,Lance Stroll STR
2022,Monaco,3,1.0,1.9,13,0,14,22.27,75.67,1002.99,107,31.04,206.38,0.99,Daniel Ricciardo RIC
2022,Monaco,31,1.4,1.2,12,0,10,22.27,75.67,1002.99,107,31.04,206.38,0.99,Esteban Ocon OCO
2022,Monaco,10,1.4,1.0,11,0,17,22.27,75.67,1002.99,107,31.04,206.38,0.99,Pierre Gasly GAS
2022,Monaco,77,1.5,1.6,9,2,12,22.27,75.67,1002.99,107,31.04,206.38,0.99,Valtteri Bottas BOT
2022,Monaco,14,1.2,1.2,7,6,7,22.27,75.67,1002.99,107,31.04,206.38,0.99,Fernando Alonso ALO
